model,cv_score_mean,cv_score_std,cv_scoring,test_MAE,test_RMSE,test_R2,n_test,timestamp
gbr,-3527.81830043803,54.72492027906818,neg_root_mean_squared_error,2131.6996326085723,3476.263290007965,0.9223873503738722,29813,2025-11-21 17:27:06
mlp,-4657.670650322616,147.86271486806797,neg_root_mean_squared_error,2703.9180266431913,4459.754435231583,0.8811443979008935,3511,2025-11-20 12:29:09
rf,-4939.529643414324,274.3861415931241,neg_root_mean_squared_error,2784.2112016867795,4783.287160956955,0.8632741371945576,3511,2025-11-20 12:10:51
linear,-7097.686066155886,164.76659821294362,neg_root_mean_squared_error,4990.945338987562,7153.684872485497,0.6941859921313308,3511,2025-11-20 12:09:24
