feature,importance,rank
cat__model_expedition,0.001577289,178
cat__model_edge,0.0015675437,179
cat__model_r8,0.0015659647,180
cat__model_tsx,0.001549694,181
cat__model_2500,0.0015493517,182
cat__model_leaf,0.0015470184,183
cat__model_gti,0.0015419505,184
cat__model_avalon,0.0015409337,185
cat__model_trans,0.0015406046,186
cat__model_defender,0.0015332357,187
cat__fuel_electric,0.001531432,188
cat__model_C7500,0.0015260484,189
cat__model_civic,0.0015240416,190
cat__model_qx56,0.001519377,191
cat__model_stratus,0.0015192517,192
cat__type_hatchback,0.001513754,193
cat__model_scion,0.0015125363,194
cat__model_sebring,0.0015109769,195
cat__model_bronco,0.0014977482,196
cat__model_f750,0.0014954698,197
cat__model_rogue,0.0014900548,198
cat__model_X1,0.0014769131,199
cat__model_s550,0.0014687883,200
cat__model_f650,0.0014625615,201
num__odo_per_year,0.0014613934,202
cat__model_Captiva,0.0014573524,203
cat__model_gl,0.001456417,204
cat__title_status_clean,0.0014529228,205
cat__manufacturer_mercedes-benz,0.0014444108,206
cat__model_a3,0.001442993,207
cat__model_6 Series,0.0014361028,208
cat__model_camper,0.0014295167,209
cat__model_Tracker,0.0014274186,210
cat__model_C4500,0.0014205959,211
cat__model_Camaro,0.0014175742,212
cat__model_i3,0.0014174287,213
cat__model_Blazer,0.0014149441,214
cat__model_650i,0.0014142636,215
cat__model_Venture,0.0014127541,216
cat__model_Volt,0.0014044838,217
cat__model_prius,0.0013752081,218
cat__model_X3,0.0013747857,219
cat__model_K5 Blazer,0.0013739582,220
cat__model_924s,0.0013708676,221
cat__model_baja,0.0013556055,222
cat__model_328xi,0.0013538641,223
cat__type_convertible,0.0013414859,224
cat__model_500,0.001324942,225
cat__model_Workhorse,0.001314321,226
cat__model_M6,0.0013097586,227
cat__model_mazda2,0.001309107,228
cat__condition_good,0.0013042917,229
cat__model_xj6,0.0012989347,230
cat__transmission_other,0.001296137,231
cat__model_lightning,0.0012863714,232
cat__model_gls,0.0012821972,233
cat__model_300zx,0.0012653768,234
cat__model_300c,0.0012631622,235
cat__model_thunderbird,0.0012519198,236
cat__model_rs,0.0012464399,237
cat__model_routan,0.0012437609,238
cat__model_legacy,0.0012395942,239
cat__model_sts,0.0012385503,240
cat__model_econoline,0.0012266808,241
cat__model_ats,0.0012175158,242
cat__model_e450,0.0012110877,243
cat__model_s4,0.0012056145,244
cat__model_xc90,0.0011923229,245
cat__model_altima,0.001189116,246
cat__manufacturer_subaru,0.0011852048,247
cat__model_navigator,0.0011769782,248
cat__model_ls,0.0011755003,249
cat__model_rx,0.001175323,250
cat__model_s8,0.0011711458,251
cat__model_genesis,0.001169314,252
cat__model_ion,0.0011660203,253
cat__model_ss,0.0011633491,254
cat__model_xc60,0.0011600747,255
cat__model_charger,0.0011568175,256
cat__model_xlr,0.0011525518,257
cat__model_Jimmy,0.0011507577,258
cat__model_300,0.0011451903,259
cat__model_Prizm,0.0011426191,260
cat__model_westfalia,0.001142565,261
cat__model_Canyon,0.0011386396,262
cat__model_a7,0.0011381691,263
cat__model_4,0.0011373406,264
cat__model_nv,0.0011293626,265
cat__model_C6500,0.0011212033,266
cat__model_sc,0.0011162988,267
cat__model_3000gt,0.0011151957,268
cat__model_lx470,0.0011151648,269
cat__model_fuso,0.0011070479,270
cat__model_P30,0.0010947027,271
cat__model_caravan,0.0010756985,272
cat__title_status_salvage,0.001070974,273
cat__model_r32,0.0010651905,274
cat__model_rx8,0.0010620893,275
cat__manufacturer_harley-davidson,0.001054986,276
cat__model_lr2,0.0010544097,277
cat__model_Rendezvous,0.001052272,278
cat__model_rubicon,0.0010482586,279
cat__model_f450,0.0010479556,280
cat__model_stinger,0.0010467083,281
cat__model_gla,0.0010357521,282
cat__model_matrix,0.0010351866,283
cat__model_outlander,0.0010348678,284
cat__model_velar,0.0010310543,285
cat__model_gladiator,0.0010207109,286
cat__model_a8,0.0010126191,287
cat__model_hrv,0.0010121595,288
cat__model_model,0.0010100199,289
cat__model_pacifica,0.0010083901,290
cat__model_750i,0.0010004769,291
cat__model_freelander,0.0010002557,292
cat__model_mazda3,0.0009959809,293
cat__model_Lumina,0.0009899801,294
cat__model_cj7,0.0009895122,295
cat__model_protege,0.0009858157,296
cat__model_supra,0.0009824884,297
cat__model_X5,0.0009805978,298
cat__model_spectra,0.0009774087,299
cat__model_crv,0.000976535,300
cat__model_Grand National,0.00096860604,301
cat__model_pathfinder,0.00096661365,302
cat__model_E46,0.0009660187,303
cat__manufacturer_rover,0.00096376124,304
cat__model_q5,0.0009631607,305
cat__model_Pickup,0.0009626136,306
cat__model_mazda5,0.00096073974,307
cat__model_f,0.0009604875,308
cat__model_amg e63amg,0.000960276,309
cat__model_Roadmaster,0.0009588626,310
cat__type_other,0.0009553663,311
cat__model_K10,0.000954651,312
cat__model_cayenne,0.00095232966,313
cat__model_sand,0.0009521486,314
cat__model_is,0.0009507849,315
cat__model_xt6,0.0009498613,316
cat__model_5500,0.00094773463,317
cat__model_es,0.00094592595,318
cat__type_,0.000936605,319
cat__model_xterra,0.00093643117,320
cat__model_740i,0.0009356756,321
cat__model_x,0.0009352281,322
cat__model_davidson,0.00093480706,323
cat__model_lifted,0.0009327451,324
cat__model_telluride,0.0009178129,325
cat__model_4x4,0.00091758335,326
cat__manufacturer_bmw,0.0009168815,327
cat__model_passat,0.00091556914,328
cat__model_discovery,0.0009129616,329
cat__model_g6,0.00091198424,330
cat__model_mustang,0.0009077905,331
cat__model_equus,0.00090418814,332
cat__model_mark,0.00090191094,333
cat__model_insight,0.00089857704,334
cat__manufacturer_pontiac,0.0008980198,335
cat__model_a6,0.00089503685,336
cat__model_TopKick,0.00089315086,337
cat__model_sky,0.0008931331,338
cat__model_s5,0.0008927995,339
cat__model_promaster,0.00088712544,340
cat__model_cx5,0.0008871083,341
cat__model_superchar,0.0008863254,342
cat__model_sprinter,0.0008835319,343
cat__model_s7,0.0008726486,344
cat__model_Alpina,0.0008687658,345
cat__model_panamera,0.00086592877,346
cat__manufacturer_lincoln,0.0008607595,347
cat__model_4500,0.00085407466,348
cat__model_hse,0.00085264095,349
cat__model_Century,0.0008514958,350
cat__model_g5,0.0008492179,351
cat__model_LaCrosse,0.0008414008,352
cat__model_galant,0.00083815627,353
cat__model_fiero,0.0008372213,354
cat__model_lx450,0.00083412323,355
cat__model_boxster,0.00083404646,356
cat__model_venza,0.0008339478,357
cat__model_320i,0.0008323515,358
cat__model_solstice,0.0008304572,359
cat__model_C8500,0.0008273139,360
num__state_price_mean,0.0008195494,361
cat__model_240sx,0.0008142668,362
cat__title_status_,0.000811092,363
cat__model_qx4,0.00081001804,364
cat__model_gle,0.0008088368,365
cat__model_Encore,0.00080823107,366
cat__model_sonata,0.0008066796,367
cat__model_Sonoma,0.00080625626,368
cat__model_sable,0.0007977664,369
cat__model_touareg,0.000796732,370
cat__model_128i,0.00079633633,371
cat__model_Sierra 3500,0.00079594925,372
cat__model_xj,0.0007956562,373
cat__model_wagon,0.00079382845,374
cat__model_scrambler,0.0007901536,375
cat__model_seville,0.0007875041,376
cat__model_e350,0.00078599335,377
cat__model_G30,0.0007856945,378
cat__model_rabbit,0.0007831588,379
cat__model_cla,0.00078231044,380
cat__model_srx,0.00077642564,381
cat__model_mdx,0.0007698348,382
cat__manufacturer_saturn,0.00076808705,383
cat__model_xk,0.00076708297,384
cat__model_mustang shelby,0.00076443877,385
cat__model_q8,0.0007628814,386
cat__model_murano,0.00075922936,387
cat__model_c250,0.00075879326,388
cat__model_mr2,0.00075791305,389
cat__model_Safari,0.0007574,390
cat__manufacturer_alfa-romeo,0.00075671705,391
cat__condition_excellent,0.0007556998,392
num__age2,0.00075315556,393
cat__model_mazdaspeed3,0.00075297157,394
cat__model_TopKick C4500,0.0007499282,395
cat__model_california,0.0007486132,396
cat__model_458,0.000746976,397
