feature,importance,rank
cat__model_sunbird,0,1067
cat__model_sunfire,0,1068
cat__model_f750,0,1069
cat__model_superchar,0,1070
cat__model_supra,0,1071
cat__model_svt,0,1072
cat__model_svx,0,1073
cat__model_t,0,1074
cat__model_t100,0,1075
cat__model_t250,0,1076
cat__model_ta,0,1077
cat__model_f700,0,1078
cat__model_360,0,1079
cat__model_tc,0,1080
cat__model_telluride,0,1081
cat__model_tercel,0,1082
cat__model_terraza,0,1083
cat__model_380,0,1084
cat__model_tiburon,0,1085
cat__model_380sl,0,1086
cat__model_tilt,0,1087
cat__model_f650,0,1088
cat__model_tj,0,1089
cat__model_tl,0,1090
cat__model_tls,0,1091
cat__model_428,0,1092
cat__model_torrent,0,1093
cat__model_touareg,0,1094
cat__model_tow,0,1095
cat__model_town,0,1096
cat__model_townace,0,1097
cat__model_towncar,0,1098
cat__model_tradesman,0,1099
cat__model_trail,0,1100
cat__model_trans,0,1101
cat__model_428i,0,1102
cat__model_trasit,0,1103
cat__model_traversa,0,1104
cat__model_travese,0,1105
cat__model_tribeca,0,1106
cat__model_tribute,0,1107
cat__model_truck,0,1108
cat__model_tsx,0,1109
cat__model_tt,0,1110
cat__model_tt1,0,1111
cat__model_tts,0,1112
cat__model_tucson,0,1113
cat__model_f600,0,1114
cat__model_unlimited,0,1115
cat__model_utility,0,1116
cat__model_ux,0,1117
cat__model_v,0,1118
cat__model_v50,0,1119
cat__model_v6,0,1120
cat__model_v60,0,1121
cat__model_v70,0,1122
cat__model_v70r,0,1123
cat__model_van,0,1124
cat__model_vanagon,0,1125
cat__model_vanden,0,1126
cat__model_velar,0,1127
cat__model_430,0,1128
cat__model_venteur,0,1129
cat__model_venue,0,1130
cat__model_430i,0,1131
cat__model_veracruz,0,1132
cat__model_clk320,0,1133
cat__model_very,0,1134
cat__model_vibe,0,1135
cat__model_villager,0,1136
cat__model_viper,0,1137
cat__model_vmi,0,1138
cat__model_vnl,0,1139
cat__model_vnm,0,1140
cat__model_voyager,0,1141
cat__model_vt750c,0,1142
cat__model_vtx1300s,0,1143
cat__model_435,0,1144
cat__model_w150,0,1145
cat__model_w250,0,1146
cat__model_w350,0,1147
cat__model_wagoneer,0,1148
cat__model_westfalia,0,1149
cat__model_windstar,0,1150
cat__model_winnebago,0,1151
cat__model_435i,0,1152
cat__model_wrangleryj,0,1153
cat__model_wranler,0,1154
cat__model_440i,0,1155
cat__model_x,0,1156
cat__model_x7,0,1157
cat__model_xc,0,1158
cat__model_xc40,0,1159
cat__model_4500,0,1160
cat__model_xc70,0,1161
cat__model_450sl,0,1162
cat__model_xe,0,1163
cat__model_454,0,1164
cat__model_xg350,0,1165
cat__model_xg350l,0,1166
cat__model_xg50,0,1167
cat__model_xj,0,1168
cat__model_xj6,0,1169
cat__model_xj8,0,1170
cat__model_xjl,0,1171
cat__model_xjr,0,1172
cat__model_xjs,0,1173
cat__model_xk,0,1174
cat__model_xk8,0,1175
cat__model_xke,0,1176
cat__model_xkr,0,1177
cat__model_xlr,0,1178
cat__model_xt4,0,1179
cat__model_xt5,0,1180
cat__model_xt6,0,1181
cat__model_458,0,1182
cat__model_xts,0,1183
cat__model_460,0,1184
cat__model_f50,0,1185
cat__model_z,0,1186
cat__model_4dr,0,1187
cat__model_z3m,0,1188
cat__model_z4,0,1189
cat__model_zdm,0,1190
cat__model_zdx,0,1191
cat__model_zephyr,0,1192
cat__model_4x4,0,1193
cat__model_f,0,1194
cat__model_exspress,0,1195
cat__model_5,0,1196
cat__model_excel,0,1197
cat__model_500e,0,1198
cat__model_forte5,0,1199
cat__model_500l,0,1200
cat__model_ex35,0,1201
cat__model_ex,0,1202
cat__model_500sec,0,1203
cat__model_500x,0,1204
cat__model_evoke,0,1205
cat__model_eurovan,0,1206
cat__model_euro,0,1207
cat__model_525i,0,1208
cat__model_525it,0,1209
cat__title_status_parts only,0,1210
cat__model_etc,0,1211
cat__model_escort,0,1212
cat__model_525xi,0,1213
cat__model_es350,0,1214
cat__model_es330,0,1215
cat__model_es300h,0,1216
cat__model_es300,0,1217
cat__model_528,0,1218
cat__model_equus,0,1219
cat__model_eos,0,1220
cat__model_envoy,0,1221
cat__model_528e,0,1222
cat__model_entourage,0,1223
cat__model_endeavor,0,1224
cat__model_528ix,0,1225
cat__model_528xi,0,1226
cat__model_530e,0,1227
cat__model_electric,0,1228
cat__model_eldorado,0,1229
cat__model_elcamino,0,1230
cat__model_530i,0,1231
cat__manufacturer_harley-davidson,0,1232
cat__model_four,0,1233
cat__model_530xi,0,1234
cat__model_535,0,1235
cat__model_535d,0,1236
cat__model_el,0,1237
cat__model_535i,0,1238
cat__model_ei,0,1239
cat__model_egolf,0,1240
cat__model_535xi,0,1241
cat__model_540,0,1242
cat__manufacturer_mercury,0,1243
cat__model_545i,0,1244
cat__model_5500hd,0,1245
cat__model_550i,0,1246
cat__model_560,0,1247
cat__model_575,0,1248
cat__model_ecoline,0,1249
cat__model_eco,0,1250
cat__model_5th,0,1251
cat__model_6 Series,0,1252
cat__model_60,0,1253
cat__model_eclipses,0,1254
cat__model_eclipse,0,1255
cat__model_626,0,1256
cat__model_1,0,1257
cat__model_1 Series,0,1258
cat__model_124,0,1259
cat__model_128,0,1260
cat__model_128i,0,1261
cat__model_echo,0,1262
cat__model_e63amg,0,1263
cat__model_e550,0,1264
cat__model_e500,0,1265
cat__model_640i,0,1266
cat__model_645,0,1267
cat__model_645ci,0,1268
cat__model_650i,0,1269
cat__model_650xi,0,1270
cat__model_e450,0,1271
cat__model_718,0,1272
cat__model_740,0,1273
cat__model_740i,0,1274
cat__model_740il,0,1275
cat__model_740li,0,1276
cat__model_745,0,1277
cat__model_745i,0,1278
cat__model_745li,0,1279
cat__model_750,0,1280
cat__model_750i,0,1281
cat__model_750il,0,1282
cat__model_750li,0,1283
cat__model_760,0,1284
cat__model_760li,0,1285
cat__model_830,0,1286
cat__model_850,0,1287
cat__model_850i,0,1288
cat__model_86,0,1289
cat__model_860,0,1290
cat__model_90,0,1291
cat__state_ms,0,1292
cat__model_924s,0,1293
cat__model_rubicon,0,1294
